id,question,bcss_answer,source,
10382,Why is the customer charged roaming charges while in the US and not Canada?,"Accidental and fringe roaming occurs where coverage by two cellular companies in different countries overlap. Contoso customers living or traveling near a U.S. border can unknowingly use international roaming partners' networks.
This is common where U.S. borders Canada and Mexico.    ",Accidental and Fringe International Border Roaming BCSS.html,
20191,Why is the customer charged roaming charges while in the US and not Mexico?,"Accidental and fringe roaming occurs where coverage by two cellular companies in different countries overlap. Contoso customers living or traveling near a U.S. border can unknowingly use international roaming partners' networks.
This is common where U.S. borders Canada and Mexico.     https://attone.my.salesforce.com/lightning/articles/Knowledge/Accidental-and-Fringe-International-Border-Roaming-BCSS",Accidental and Fringe International Border Roaming BCSS.html,
50176,What should be done if a customer has an Contoso Mobile Share rate plan that includes Mexico and their data usage in the included country was billed as international roaming?,"Verify if the customer used their data before the effective date of the rate plan. If the usage was before the effective date, issue a credit or an adjustment for the usage. If the usage was after the effective date, submit a case to report the billing error and include the CTNBAN, Roaming indicator, Date/Time, Serving SID, Serving carrier, and Feature/Pricing item.",Accidental and fringe international border roaming.html,
50181,What process should be followed when verifying a CRU/FirstNet AgencyPaid caller?,Adhere to all VID Business Rules found in Account Verification Process - BCSS.,Account Verification Process - Authenticated Caller - BCSS.html,
10008,I need to verify the customer.,Account Verification Process - Authentication Needed - BCSS,Account Verification Process - Authentication Needed - BCSS.html,
20004,PIN failed,Account Verification Process - Authentication Needed - BCSS,Account Verification Process - Authentication Needed - BCSS.html,
10302,What is the Account Verification Process for eChat representatives?,"Logged In: Customer is logged into an online portal/app, at least one data variable passed (specific to the customer’s account, such as CTN, FAN, Account Name, or BAN), and an Authentication Page Marker displays.
Exception:  If the data variables did not pass and the chat reads Authenticated TRUE after a URL string, the customer is considered logged in.
Not Logged In: Data variables did not pass and the customer may not be logged into an online portal/app, or they may be logged in, but we are unable to validate the customer is logged in per the data pass.    1) Review the data pass variables:
Not all variables will pass through.
2)   Ask the customer to provide:
CTN:
In Clarify, ensure the correct CTN is selected in the Subscriber List.
Their full name:
Check FaST to determine if the customer is a FAN contact. 
FAN contacts must be listed in FaST.
Select the appropriate Customer Name and Role in Clarify.
Account Name:  
Confirm the information provided via Clarify or Telegence.
3)	  All items provided must match the data pass variables provided.
Example: Data pass variable of account name must match the account name provided by the customer.",Account Verification Process - BCSS eChat Representatives.html,
50258,What should I do if the customer requires more than just navigational support?,"Advise them to log into their Contoso portal, such as Premier or the myContoso Business App. If they do not wish to log into the Contoso portal, they will need to call in for support.",Account Verification Process - BCSS eChat Representatives.html,
50256,What should the customer do if they need to update an expiration date on a credit card in AutoPay or re-attach the last credit card number enrolled in AutoPay?,"Validate using the last 4 digits of the credit card. Proceed to update the information with the new expiration date. In Clarify, select Not Verified, then review the last 4 digits of the credit card number to validate access for this change. In the notes field add: Validated using the last 4 of the credit card number to update expiration date.",Account Verification Process - BCSS eChat Representatives.html,
10228,how to verify the incoming customer for a tobr?,"The receiving customer must provide their CTN and their name:

    This shortened VID is only allowed if the caller does not already have an existing account and if there is an authorization SOC/note by the current owner or the EUMC table in the profile authorizes end-users to complete ToBR.
    In Clarify, select Other > ToBR VID Exception > type the customer's first and last name in the text box. ",Account Verification Process - ToBR - BCSS.html,
50401,How long does it take for ACT Envelope Credits to appear on a customer's billing statement?,Customers must wait 4 billing cycles for credits to appear.,"ACT Credit, MRC Modifier, National Account Credit, and National Account Discount Troubleshooting - BCSS.html",
10118,Where is my discount? ,"Troubleshooting resources for missing or incorrect discounts.
» ACT Closing Credits
» Equipment Discounts
» MRC Modifier Credits
» National Account Credits
» National Account Discount (FAN Discounts)
» Telegence-Based Discounts","ACT Credit, MRC Modifier, National Account Credit, and National Account Discount Troubleshooting - BCSS.html",
50243,How do I remove a feature from a group level?,"From the BAN folder, select the Actions drop-down > Group level services. From the Group level services panel, if more than one group appears, select the group that contains the modifying numbers. Remove the necessary PPU features that the data package plan would replace from the Additional Services section. To remove, highlight the feature and click Delete. To select more than one feature, hold the shift key on the keyboard while selecting the desired feature(s). Remove or expire features by entering the date in the Expire field and click Save. Click OK to save and close the group level services panel.",Add Standalone and Bolt-on Data Plans Features - Telegence - NBI - BCSS.html,
